OBJECTID	src_codigo_dan	nbr_codigo_dan	LENGTH	NODE_COUNT
1	05	13	314240,426739859740000	0
2	05	15	73211,527388986447000	0
3	05	17	269651,739382809550000	0
4	05	23	506566,521944718670000	0
5	05	27	626709,672903869180000	0
6	05	66	23198,175393950041000	0
7	05	68	165084,296306830950000	0
8	08	13	98721,960322143670000	0
9	08	47	114799,609858937530000	0
10	11	25	332834,497429835490000	0
11	11	41	3344,503988043294600	0
12	11	50	63919,748524650837000	0
13	13	05	314240,426739859740000	0
14	13	08	98721,960322143670000	0
15	13	20	100271,279591416080000	0
16	13	23	16734,390299954070000	0
17	13	47	296961,956424113710000	0
18	13	68	117347,559944531090000	0
19	13	70	451632,844086951050000	0
20	15	05	73211,527388986447000	0
21	15	17	1644,364585385966400	0
22	15	25	435898,275104368690000	0
23	15	50	0,000000000000000	1
24	15	54	77988,940038543107000	0
25	15	68	653851,323319606020000	0
26	15	81	107960,191134343330000	0
27	15	85	363803,599055441910000	0
28	17	05	269651,739382809550000	0
29	17	15	1644,364585385966400	0
30	17	25	70383,093011591322000	0
31	17	66	246968,596954186800000	0
32	17	73	138976,019011083440000	0
33	18	19	109113,255319467020000	0
34	18	41	265388,901850899330000	0
35	18	50	345052,516340438100000	0
36	18	86	488701,065105756050000	0
37	18	91	430870,731837642260000	0
38	18	95	498576,231961456240000	0
39	18	97	234470,306394585640000	0
40	19	18	109113,255319467020000	0
41	19	41	374150,196293883490000	0
42	19	52	340317,161344170280000	0
43	19	73	49023,221700271795000	0
44	19	76	337545,983915850930000	0
45	19	86	190402,004372889320000	0
46	20	13	100271,279591416080000	0
47	20	44	173568,770139601260000	0
48	20	47	408664,643087883010000	0
49	20	54	335621,940982808590000	0
50	20	68	93569,651933390298000	0
51	23	05	506566,521944718670000	0
52	23	13	16734,390299954070000	0
53	23	70	302836,329461171520000	0
54	25	11	332834,497429835490000	0
55	25	15	435898,275104368690000	0
56	25	17	70383,093011591322000	0
57	25	41	23732,285992878278000	0
58	25	50	282981,137992173320000	0
59	25	73	276287,182357232490000	0
60	25	85	0,000000000000000	1
61	27	05	626709,672903869180000	0
62	27	66	93841,264706837945000	0
63	27	76	345484,815568026500000	0
64	41	11	3344,503988043294600	0
65	41	18	265388,901850899330000	0
66	41	19	374150,196293883490000	0
67	41	25	23732,285992878278000	0
68	41	50	129284,233115453970000	0
69	41	73	333877,410794340070000	0
70	44	20	173568,770139601260000	0
71	44	47	72362,719345956037000	0
72	47	08	114799,609858937530000	0
73	47	13	296961,956424113710000	0
74	47	20	408664,643087883010000	0
75	47	44	72362,719345956037000	0
76	50	11	63919,748524650837000	0
77	50	15	0,000000000000000	1
78	50	18	345052,516340438100000	0
79	50	25	282981,137992173320000	0
80	50	41	129284,233115453970000	0
81	50	85	315923,340322462380000	0
82	50	95	652485,015357014610000	0
83	50	99	225047,199984865790000	0
84	52	19	340317,161344170280000	0
85	52	86	162784,627147729070000	0
86	54	15	77988,940038543107000	0
87	54	20	335621,940982808590000	0
88	54	68	272074,392575574860000	0
89	63	66	44740,902510362626000	0
90	63	73	99899,697400430217000	0
91	63	76	135373,777829688680000	0
92	66	05	23198,175393950041000	0
93	66	17	246968,596954186800000	0
94	66	27	93841,264706837945000	0
95	66	63	44740,902510362626000	0
96	66	73	10960,574192918753000	0
97	66	76	100201,486060213760000	0
98	68	05	165084,296306830950000	0
99	68	13	117347,559944531090000	0
100	68	15	653851,323319606020000	0
101	68	20	93569,651933390298000	0
102	68	54	272074,392575574860000	0
103	70	13	451632,844086951050000	0
104	70	23	302836,329461171520000	0
105	73	17	138976,019011083440000	0
106	73	19	49023,221700271795000	0
107	73	25	276287,182357232490000	0
108	73	41	333877,410794340070000	0
109	73	63	99899,697400430217000	0
110	73	66	10960,574192918753000	0
111	73	76	129558,300253734390000	0
112	76	19	337545,983915850930000	0
113	76	27	345484,815568026500000	0
114	76	63	135373,777829688680000	0
115	76	66	100201,486060213760000	0
116	76	73	129558,300253734390000	0
117	81	15	107960,191134343330000	0
118	81	85	435647,922493591260000	0
119	81	99	49056,836722437911000	0
120	85	15	363803,599055441910000	0
121	85	25	0,000000000000000	1
122	85	50	315923,340322462380000	0
123	85	81	435647,922493591260000	0
124	85	99	214156,664832047680000	0
125	86	18	488701,065105756050000	0
126	86	19	190402,004372889320000	0
127	86	52	162784,627147729070000	0
128	86	91	63202,011172793878000	0
129	91	18	430870,731837642260000	0
130	91	86	63202,011172793878000	0
131	91	97	605792,247874214780000	0
132	94	95	320526,426698654250000	0
133	94	97	86247,187157175998000	0
134	94	99	735776,391676927800000	0
135	95	18	498576,231961456240000	0
136	95	50	652485,015357014610000	0
137	95	94	320526,426698654250000	0
138	95	97	538775,620312126120000	0
139	95	99	148925,270580254030000	0
140	97	18	234470,306394585640000	0
141	97	91	605792,247874214780000	0
142	97	94	86247,187157175998000	0
143	97	95	538775,620312126120000	0
144	99	50	225047,199984865790000	0
145	99	81	49056,836722437911000	0
146	99	85	214156,664832047680000	0
147	99	94	735776,391676927800000	0
148	99	95	148925,270580254030000	0
